,Category,top10,top10_scores
0,cognitive systems,janis terpenny,0.170834132
0,cognitive systems,jim chen,0.149549988
0,cognitive systems,amarda shehu,0.13800122
0,cognitive systems,ray hong,0.131641919
0,cognitive systems,thomas latoza,0.129228086
0,cognitive systems,george hazelrigg,0.126890423
0,cognitive systems,hadi el amine,0.121037361
0,cognitive systems,giuseppe ateniese,0.117310882
0,cognitive systems,aditya johri,0.116144527
0,cognitive systems,edward huang,0.114786032
1,intelligent agents,gheorghe tecuci,0.117245471
1,intelligent agents,mihai boicu,0.11078951
1,intelligent agents,jim chen,0.106521598
1,intelligent agents,sanmay das,0.094662883
1,intelligent agents,jan allbeck,0.092587215
1,intelligent agents,dimitrios ioannou,0.085145122
1,intelligent agents,michael hieb,0.083568868
1,intelligent agents,qiliang li,0.081740932
1,intelligent agents,jeffrey moran,0.076433805
1,intelligent agents,ali beheshti,0.076415247
2,knowledge representation reasoning,mihai boicu,0.141288204
2,knowledge representation reasoning,gheorghe tecuci,0.133925026
2,knowledge representation reasoning,jim chen,0.108146056
2,knowledge representation reasoning,samuel gordon,0.106056248
2,knowledge representation reasoning,giuseppe ateniese,0.10472734
2,knowledge representation reasoning,yotam gingold,0.102746166
2,knowledge representation reasoning,sanmay das,0.102703926
2,knowledge representation reasoning,katherine russell,0.098456599
2,knowledge representation reasoning,xuesu xiao,0.095594528
2,knowledge representation reasoning,monson hayes,0.092446931
3,machine learning,gheorghe tecuci,0.263944155
3,machine learning,mihai boicu,0.227420266
3,machine learning,aditya johri,0.18412826
3,machine learning,ray hong,0.161897999
3,machine learning,pouyan ahmadi,0.136724324
3,machine learning,khondkar islam,0.133123036
3,machine learning,tolga soyata,0.132976735
3,machine learning,shuochao yao,0.132932495
3,machine learning,michael hieb,0.131996041
3,machine learning,qiang zeng,0.131508037
4,natural language processing,duminda wijesekera,0.203857715
4,natural language processing,rajesh ganesan,0.198632485
4,natural language processing,daniel barbara,0.195279854
4,natural language processing,kevin lybarger,0.194959894
4,natural language processing,parth pathak,0.194394917
4,natural language processing,tolga soyata,0.189921552
4,natural language processing,marcos zampieri,0.183308172
4,natural language processing,burak tanyu,0.177385812
4,natural language processing,jim chen,0.176666112
4,natural language processing,alexander levis,0.175600052
5,robotics,xuesu xiao,0.277396084
5,robotics,parth pathak,0.184824546
5,robotics,katherine russell,0.172416219
5,robotics,krzysztof gaj,0.169381711
5,robotics,vadim sokolov,0.169150552
5,robotics,siddhartha sikdar,0.165709019
5,robotics,monson hayes,0.165704826
5,robotics,burak tanyu,0.164007642
5,robotics,parag chitnis,0.157173169
5,robotics,daigo shishika,0.155631138
6,unmanned autonomous vehicles,yue cheng,0.117645377
6,unmanned autonomous vehicles,jinwei ye,0.11547096
6,unmanned autonomous vehicles,jim chen,0.11477865
6,unmanned autonomous vehicles,burak tanyu,0.110809646
6,unmanned autonomous vehicles,songqing chen,0.110474898
6,unmanned autonomous vehicles,parth pathak,0.107799745
6,unmanned autonomous vehicles,duminda wijesekera,0.105704949
6,unmanned autonomous vehicles,yotam gingold,0.103945603
6,unmanned autonomous vehicles,daniel barbara,0.102324837
6,unmanned autonomous vehicles,monson hayes,0.101997708
7,computer architecture,janis terpenny,0.213951304
7,computer architecture,grigory yaroslavtsev,0.181649754
7,computer architecture,shahnaz kamberi,0.161213339
7,computer architecture,brian hrolenok,0.142133811
7,computer architecture,binqian yin,0.139373668
7,computer architecture,hamza mughal,0.128445773
7,computer architecture,john otten,0.123858424
7,computer architecture,katherine russell,0.121588326
7,computer architecture,ebrima ceesay,0.121183435
7,computer architecture,ray hong,0.112754422
8,computing components,george hazelrigg,0.18539331
8,computing components,edward huang,0.16284328
8,computing components,andrzej manitius,0.162755297
8,computing components,jiayang sun,0.153866831
8,computing components,craig lorie,0.152416658
